2019-04-16 14:36:16,056 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:36:16,056 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jenkinsproject\MavenProject\src\test\resources
2019-04-16 14:36:27,397 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-04-16 14:36:41,668 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\jenkinsproject\MavenProject
2019-04-16 14:36:41,669 [Worker-8] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2019-04-16 14:36:44,390 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:36:44,398 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-16 14:36:44,402 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:36:44,406 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jenkinsproject\MavenProject\src\test\resources
2019-04-16 14:36:44,406 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of MavenProject
2019-04-16 14:36:44,423 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for MavenProject
2019-04-16 14:36:44,463 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:37:03,571 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2019-04-16 14:37:27,757 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\jenkinsproject\MavenProject
2019-04-16 14:37:27,757 [Worker-10] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B compile test
2019-04-16 14:38:07,235 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:38:07,242 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-16 14:38:07,245 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:38:07,249 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jenkinsproject\MavenProject\src\test\resources
2019-04-16 14:38:15,979 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\jenkinsproject\MavenProject
2019-04-16 14:38:15,980 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2019-04-16 14:38:21,279 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:38:21,292 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-04-16 14:38:21,297 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2019-04-16 14:38:21,301 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\jenkinsproject\MavenProject\src\test\resources
